TITLE="EPhi"
VARIABLES="x", "y", "EPhi"
ZONE T="Ephi", I=38, J=2, DATAPACKING=POINT
0 0 0
0.000997944 0 0
0.00199589 0 0
0.00299383 0 0
0.00399178 0 0
0.00498972 0 0
0.00598767 0 0
0.00698561 0 0
0.00798355 0 0
0.0089815 0 0
0.00997944 0 0
0.0109774 0 0
0.0119753 0 0
0.0129733 0 0
0.0139712 0 0
0.0149692 0 0
0.0159671 0 0
0.0169651 0 0
0.017963 0 0
0.0189609 0 0
0.0199589 0 -38.9001
0.0209568 0 -66.1024
0.0219548 0 -49.4802
0.0229527 0 -34.7971
0.0239507 0 -43.7052
0.0249486 0 -59.2368
0.0259466 0 -66.4786
0.0269445 0 -67.3365
0.0279424 0 -63.3728
0.0289404 0 -55.0594
0.0299383 0 -46.726
0.0309363 0 -42.8867
0.0319342 0 -37.7958
0.0329322 0 -28.3705
0.0339301 0 -19.1143
0.034928 0 -8.19637
0.035926 0 5.39691
0.0369239 0 0
0 0 0
0.000997792 1.74165e-05 0
0.00199558 3.48331e-05 0
0.00299338 5.22496e-05 0
0.00399117 6.96661e-05 0
0.00498896 8.70826e-05 0
0.00598675 0.000104499 0
0.00698455 0.000121916 0
0.00798234 0.000139332 0
0.00898013 0.000156749 0
0.00997792 0.000174165 0
0.0109757 0.000191582 0
0.0119735 0.000208998 0
0.0129713 0.000226415 0
0.0139691 0.000243831 0
0.0149669 0.000261248 0
0.0159647 0.000278664 0
0.0169625 0.000296081 0
0.0179603 0.000313498 0
0.0189581 0.000330914 0
0.0199558 0.000348331 -38.62
0.0209536 0.000365747 -65.5941
0.0219514 0.000383164 -49.2997
0.0229492 0.00040058 -34.8569
0.023947 0.000417997 -43.6328
0.0249448 0.000435413 -58.9166
0.0259426 0.00045283 -65.9324
0.0269404 0.000470246 -66.6053
0.0279382 0.000487663 -62.6189
0.028936 0.000505079 -54.4603
0.0299338 0.000522496 -46.3139
0.0309316 0.000539912 -42.5832
0.0319294 0.000557329 -37.5695
0.0329271 0.000574745 -28.2219
0.0339249 0.000592162 -18.9983
0.0349227 0.000609579 -8.08281
0.0359205 0.000626995 5.4569
0.0369183 0.000644412 0
ZONE T="Ephi", I=38, J=2, DATAPACKING=POINT
0 0 0
0.000997792 1.74165e-05 0
0.00199558 3.48331e-05 0
0.00299338 5.22496e-05 0
0.00399117 6.96661e-05 0
0.00498896 8.70826e-05 0
0.00598675 0.000104499 0
0.00698455 0.000121916 0
0.00798234 0.000139332 0
0.00898013 0.000156749 0
